CO_CURSO,NO_CURSO,MODALIDADE,TURNO,CENTRO,DURACAO
121706.0,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,INTEGRAL,CAXIAS,4.0
1114292.0,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,INTEGRAL,CAXIAS,4.0
1114291.0,NANOTECNOLOGIA,Bacharelado,INTEGRAL,CAXIAS,4.0
14365.0,ADMINISTRAÇÃO,Bacharelado,INTEGRAL,CCJE,5.0
99321.0,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,INTEGRAL,CCJE,4.0
1125885.0,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,INTEGRAL,CCJE,4.0
14364.0,CIÊNCIAS CONTÁBEIS,Bacharelado,INTEGRAL,CCJE,5.0
1125881.0,CIÊNCIAS CONTÁBEIS,Bacharelado,INTEGRAL,CCJE,5.0
14366.0,CIÊNCIAS ECONÔMICAS,Bacharelado,INTEGRAL,CCJE,4.0
1114299.0,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,NOTURNO,CCJE,4.0
14363.0,DIREITO,Bacharelado,INTEGRAL,CCJE,5.0
1114296.0,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,INTEGRAL,CCJE,4.0
116840.0,RELAÇÕES INTERNACIONAIS,Bacharelado,NOTURNO,CCJE,4.0
14324.0,ASTRONOMIA,Bacharelado,INTEGRAL,CCMN,4.0
85783.0,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,INTEGRAL,CCMN,5.0
14331.0,CIÊNCIAS ATUARIAIS,Bacharelado,INTEGRAL,CCMN,4.0
116844.0,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,INTEGRAL,CCMN,3.0
14330.0,ESTATÍSTICA,Bacharelado,INTEGRAL,CCMN,4.0
14323.0,FÍSICA,Bacharelado,INTEGRAL,CCMN,4.0
44363.0,FÍSICA,Licenciatura,NOTURNO,CCMN,5.0
29307.0,FÍSICA MÉDICA,Bacharelado,INTEGRAL,CCMN,4.0
14326.0,GEOGRAFIA,Licenciatura,NOTURNO,CCMN,4.0
314326.0,GEOGRAFIA,Bacharelado,INTEGRAL,CCMN,4.0
14327.0,GEOLOGIA,Bacharelado,INTEGRAL,CCMN,5.0
14328.0,MATEMÁTICA,Licenciatura,INTEGRAL,CCMN,4.0
314328.0,MATEMÁTICA,Bacharelado,INTEGRAL,CCMN,4.0
71061.0,MATEMÁTICA APLICADA,Bacharelado,INTEGRAL,CCMN,4.0
14325.0,METEOROLOGIA,Bacharelado,INTEGRAL,CCMN,4.0
14332.0,QUÍMICA,Bacharelado,INTEGRAL,CCMN,5.0
45204.0,QUÍMICA,Licenciatura,NOTURNO,CCMN,5.0
44900.0,CIÊNCIAS BIOLÓGICAS,Licenciatura,INTEGRAL,CCS,4.0
112584.0,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,INTEGRAL,CCS,4.0
112586.0,CIÊNCIAS BIOLÓGICAS: MICROBIOLOGIA E IMUNOLOGIA,Bacharelado,INTEGRAL,CCS,4.0
112582.0,CIÊNCIAS BIOLÓGICAS: MODALIDADE MÉDICA,Bacharelado,INTEGRAL,CCS,4.0
14372.0,DANÇA,Bacharelado,NOTURNO,CCS,5.0
1107284.0,DANÇA,Licenciatura,NOTURNO,CCS,4.0
44892.0,EDUCAÇÃO FÍSICA,Bacharelado,INTEGRAL,CCS,5.0
44893.0,EDUCAÇÃO FÍSICA,Licenciatura,INTEGRAL,CCS,4.0
26611.0,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,INTEGRAL,CCS,4.0
14369.0,FARMÁCIA,Bacharelado,INTEGRAL,CCS,5.0
14373.0,FISIOTERAPIA,Bacharelado,INTEGRAL,CCS,4.0
14376.0,FONOAUDIOLOGIA,Bacharelado,INTEGRAL,CCS,4.0
1125886.0,GASTRONOMIA,Bacharelado,INTEGRAL,CCS,4.0
14359.0,MEDICINA,Bacharelado,INTEGRAL,CCS,6.0
1114290.0,NANOTECNOLOGIA,Bacharelado,INTEGRAL,CCS,4.0
14360.0,NUTRIÇÃO,Bacharelado,INTEGRAL,CCS,4.0
14361.0,ODONTOLOGIA,Bacharelado,INTEGRAL,CCS,4.0
116838.0,SAÚDE COLETIVA,Bacharelado,INTEGRAL,CCS,4.0
1106731.0,TEORIA DA DANÇA,Bacharelado,NOTURNO,CCS,4.0
116836.0,TERAPIA OCUPACIONAL,Bacharelado,INTEGRAL,CCS,4.0
83486.0,ENGENHARIA AMBIENTAL,Bacharelado,INTEGRAL,CT,5.0
14351.0,ENGENHARIA CIVIL,Bacharelado,INTEGRAL,CT,5.0
83910.0,ENGENHARIA DE ALIMENTOS,Bacharelado,INTEGRAL,CT,5.0
83936.0,ENGENHARIA DE BIOPROCESSOS,Bacharelado,INTEGRAL,CT,5.0
83904.0,ENGENHARIA DE COMPUTAÇÃO E INFORMAÇÃO,Bacharelado,INTEGRAL,CT,5.0
83906.0,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,INTEGRAL,CT,5.0
14368.0,ENGENHARIA DE MATERIAIS,Bacharelado,INTEGRAL,CT,5.0
83908.0,ENGENHARIA DE PETRÓLEO,Bacharelado,INTEGRAL,CT,5.0
14352.0,ENGENHARIA DE PRODUÇÃO,Bacharelado,INTEGRAL,CT,5.0
14350.0,ENGENHARIA ELÉTRICA,Bacharelado,INTEGRAL,CT,5.0
85825.0,ENGENHARIA ELETRÔNICA E DE COMPUTAÇÃO,Bacharelado,INTEGRAL,CT,5.0
14355.0,ENGENHARIA MECÂNICA,Bacharelado,INTEGRAL,CT,5.0
14353.0,ENGENHARIA METALÚRGICA,Bacharelado,INTEGRAL,CT,5.0
14354.0,ENGENHARIA NAVAL E OCEÂNICA,Bacharelado,INTEGRAL,CT,5.0
1114293.0,ENGENHARIA NUCLEAR,Bacharelado,INTEGRAL,CT,5.0
14367.0,ENGENHARIA QUÍMICA,Bacharelado,INTEGRAL,CT,5.0
14379.0,QUÍMICA INDUSTRIAL,Bacharelado,INTEGRAL,CT,5.0
99287.0,CIÊNCIAS BIOLÓGICAS,Licenciatura,INTEGRAL,MACAE,5.0
121848.0,ENFERMAGEM E OBSTETRÍCIA,Bacharelado,INTEGRAL,MACAE,5.0
120922.0,FARMÁCIA,Bacharelado,INTEGRAL,MACAE,5.0
121850.0,MEDICINA,Bacharelado,INTEGRAL,MACAE,6.0
121852.0,NUTRIÇÃO,Bacharelado,INTEGRAL,MACAE,5.0
120924.0,QUÍMICA,Licenciatura,INTEGRAL,MACAE,5.0
23977.0,ARTES CÊNICAS - DIREÇÃO TEATRAL,Bacharelado,INTEGRAL,CFCH,4.0
14349.0,PEDAGOGIA,Licenciatura,INTEGRAL,CFCH,5.0
14356.0,PSICOLOGIA,Bacharelado,INTEGRAL,CFCH,4.0
14358.0,SERVIÇO SOCIAL,Bacharelado,INTEGRAL,CFCH,5.0
14333.0,ARQUITETURA E URBANISMO,Bacharelado,INTEGRAL,CLA,5.0
23965.0,ARTES CÊNICAS - CENOGRAFIA,Bacharelado,INTEGRAL,CLA,4.0
35557.0,ARTES CÊNICAS - INDUMENTÁRIA,Bacharelado,INTEGRAL,CLA,4.0
14337.0,COMPOSIÇÃO DE INTERIOR,Bacharelado,INTEGRAL,CLA,4.0
14338.0,COMPOSIÇÃO PAISAGÍSTICA,Bacharelado,INTEGRAL,CLA,4.0
116842.0,COMUNICAÇÃO VISUAL DESIGN,Bacharelado,INTEGRAL,CLA,4.0
1114294.0,CONSERVAÇÃO E RESTAURAÇÃO,Bacharelado,INTEGRAL,CLA,4.0
33825.0,DESENHO INDUSTRIAL - PROJETO DE PRODUTO,Bacharelado,INTEGRAL,CLA,4.0
30273.0,EDUCAÇÃO ARTÍSTICA - ARTES PLÁSTICAS,Licenciatura,INTEGRAL,CLA,4.0
23969.0,EDUCAÇÃO ARTÍSTICA - DESENHO,Licenciatura,INTEGRAL,CLA,4.0
14340.0,GRAVURA,Bacharelado,INTEGRAL,CLA,4.0
113332.0,HISTÓRIA DA ARTE,Bacharelado,INTEGRAL,CLA,4.0
1114300.0,MÚSICA - BANDOLIM,Bacharelado,INTEGRAL,CLA,4.0
35558.0,MÚSICA - CANTO,Bacharelado,INTEGRAL,CLA,4.0
45202.0,MÚSICA - CLARINETA,Bacharelado,INTEGRAL,CLA,4.0
33821.0,MÚSICA - COMPOSIÇÃO,Bacharelado,INTEGRAL,CLA,5.0
99324.0,MÚSICA - CRAVO,Bacharelado,INTEGRAL,CLA,4.0
45135.0,MÚSICA - FAGOTE,Bacharelado,INTEGRAL,CLA,4.0
45137.0,MÚSICA - FLAUTA,Bacharelado,INTEGRAL,CLA,4.0
45128.0,MÚSICA - HARPA,Bacharelado,INTEGRAL,CLA,4.0
45148.0,MÚSICA - INSTRUMENTO DE PERCUSSÃO,Bacharelado,INTEGRAL,CLA,4.0
45149.0,MÚSICA - OBOÉ,Bacharelado,INTEGRAL,CLA,4.0
45197.0,MÚSICA - ÓRGÃO,Bacharelado,INTEGRAL,CLA,4.0
45145.0,MÚSICA - PIANO,Bacharelado,INTEGRAL,CLA,4.0
122390.0,MÙSICA - REGÊNCIA CORAL,Bacharelado,INTEGRAL,CLA,5.0
1114302.0,MÚSICA - REGÊNCIA DE BANDA,Bacharelado,INTEGRAL,CLA,4.0
122392.0,MÚSICA - REGÊNCIA ORQUESTRAL,Bacharelado,INTEGRAL,CLA,5.0
45150.0,MÚSICA - SAXOFONE,Bacharelado,INTEGRAL,CLA,4.0
45132.0,MÚSICA - TROMBONE,Bacharelado,INTEGRAL,CLA,4.0
45133.0,MÚSICA - TROMPA,Bacharelado,INTEGRAL,CLA,4.0
45201.0,MÚSICA - TUBA,Bacharelado,INTEGRAL,CLA,4.0
45134.0,MÚSICA - VIOLA,Bacharelado,INTEGRAL,CLA,4.0
45142.0,MÚSICA - VIOLÃO,Bacharelado,INTEGRAL,CLA,4.0
45136.0,MÚSICA - VIOLINO,Bacharelado,INTEGRAL,CLA,4.0
85786.0,MÚSICA,Licenciatura,INTEGRAL,CLA,4.0
14339.0,PINTURA,Bacharelado,INTEGRAL,CLA,4.0
107783.0,ABI-LETRAS - PORTUGUÊS - HEBRAICO 2010 2019-REPRESENTANTE,,,CLA,4.0
107788.0,ABI-LETRAS - PORTUGUÊS - ALEMÃO 2010 2019-REPRESENTANTE,,,CLA,4.0
107790.0,ABI-LETRAS - PORTUGUÊS - ÁRABE 2010 2019-REPRESENTANTE,,,CLA,4.0
107792.0,ABI-LETRAS - PORTUGUÊS - RUSSO 2010 2019-REPRESENTANTE,,,CLA,4.0
107794.0,ABI-LETRAS - PORTUGUÊS E LITERATURAS DE LÍNGUA PORTUGUESA 2010 2019-REPRESENTANTE,,,CLA,4.0
107796.0,ABI-LETRAS - PORTUGUÊS - ESPANHOL 2010 2019-REPRESENTANTE,,,CLA,4.0
107798.0,ABI-LETRAS - PORTUGUÊS - FRANCÊS 2010 2019-REPRESENTANTE,,,CLA,4.0
107800.0,ABI-LETRAS - PORTUGUÊS - GREGO 2010 2019-REPRESENTANTE,,,CLA,4.0
107802.0,ABI-LETRAS - PORTUGUÊS - ITALIANO 2010 2019-REPRESENTANTE,,,CLA,4.0
107804.0,ABI-LETRAS - PORTUGUÊS - INGLÊS 2010 2019-REPRESENTANTE,,,CLA,4.0
107806.0,ABI-LETRAS - PORTUGUÊS - LATIM 2010 2019-REPRESENTANTE,,,CLA,4.0
107808.0,ABI-LETRAS - PORTUGUÊS - JAPONÊS 2010 2019-REPRESENTANTE,,,CLA,4.0
14346.0,ABI-FILOSOFIA 2010 2022-REPRESENTANTE,,,IFCS,4.0
14347.0,ABI-HISTÓRIA 2010 2019-REPRESENTANTE,,,IFCS,4.0
107762.0,ABI-CIÊNCIAS SOCIAIS 2010 2013-REPRESENTANTE,,,IFCS,4.0
31956.0,ABI-COMUNICAÇÃO SOCIAL 2010 2018-REPRESENTANTE,,,ESCOLA DE COMUNICACAO,4.0
5000469.0,ABI-ENGENHARIAS MACAÉ-REPRESENTANTE,,,MACAE,5.0
29106.0,ABI-Ciências Biológicas Bacharelados Rio-REPRESENTANTE,,,CCS,5.0
